title_pt,title_en,year,rating,genre,sinopse,cluster,rating_original,year_original
Fogo Contra Fogo,111. Heat,0.3266671653000551,-0.011712287030108856,Ação,Um grupo de profissionais roubando bancos sospeitam que a polícia está tráis deles quando deixam uma pista no seu último roubo.,2,8.3,1995
Up: Altas Aventuras,112. Up,0.8766118880274205,-0.011712287030108856,Animação,"Carl Fredricksen, de 78 anos, viaja a Paraside Falls com sua casa e inadvertidamente leva um menino com ele.",4,8.3,2009
O Sol é para Todos,113. To Kill a Mockingbird,-0.9696311097001635,-0.011712287030108856,Policial,"Atticus Finch, um advogado no sul da era da Depressão, defende um homem negro contra uma acusação de estupro imerecida, e seus filhos contra o preconceito.",3,8.3,1962
Golpe de Mestre,114. The Sting,-0.5375316847000906,-0.011712287030108856,Comédia,Dois golpistas se reúnem para obter o melhor golpe.,0,8.3,1973
A Separação,115. A Separation,0.9551754198456156,-0.011712287030108856,Drama,"Um casal é confrontado com uma decisão difícil, melhorar a vida de seu filho mudando-se para outro país ou ficar no Irã e cuidar de um pai que se deteriora e com Alzheimer.",2,8.3,2011
Indiana Jones e a Última Cruzada,116. Indiana Jones and the Last Crusade,0.0909765698454699,-0.4300082523912653,Ação,"Em 1938, depois que seu pai, o professor Henry Jones, desaparece enquanto persegue o Santo Graal, o professor Henry ""Indiana"" Jones, Jr. se encontra contra os nazistas de Adolf Hitler.",1,8.2,1989
Metrópolis,117. Metropolis,-2.3444929165185773,-0.011712287030108856,Drama,"Numa cidade futurística dividida entre os trabalhadores e os planejadores, o filho do maior planejador se apaixona por uma trabalhadora.",0,8.3,1927
Duro de Matar,118. Die Hard,0.051694803936372366,-0.4300082523912653,Ação,"John McClane, agente do departamento de polícia de Nova York, tenta salvar sua esposa, Holly Gennaro, e outras pessoas que o terrorista alemão Hans Gruber tomou como reféns durante a festa de Natal no Nakatomi Plaza, em Los Angeles.",4,8.2,1988
Los Angeles: Cidade Proibida,119. L.A. Confidential,0.40523069711825016,-0.4300082523912653,Policial,A corrupção cresce em Los Angeles nos anos 50. Três policiais estão investigando uma série de assassinatos com sua própria marca de justiça.,4,8.2,1997
Ladrões de Bicicletas,120. Bicycle Thieves,-1.5195758324275288,-0.011712287030108856,Drama,Na Itália da pós-guerra a bicicleta de um homem da classe trabalhadora é roubada. Ele e o filho partiram para encontrá-la.,3,8.3,1948
Snatch: Porcos e Diamantes,121. Snatch,0.5230759948455428,-0.4300082523912653,Comédia,Segue a luta de criminais tráis um diamante como nenhum outro nu mundo.,2,8.2,2000
Como Estrelas na Terra,122. Like Stars on Earth,0.7980483562092254,-0.011712287030108856,Drama,"Um garoto de oito anos é acusado de ser problemático e preguiçoso, até que o novo professor de arte tem a paciência e compaixão para descobrir o verdadeiro problema por trás de suas lutas na escola.",0,8.3,2007
